id,budget,variant,gapCp,deltaGapCp,completedDepth,nodes,elapsedMs,move,fallback
0,{'nodes': 12000},base,0,0,3,12000,67.171,5i4h,False
0,{'nodes': 12000},capture,0,0,3,12000,76.799,5i4h,False
0,{'nodes': 12000},policy1capture,0,0,3,12000,89.287,5i4h,False
0,{'nodes': 12000},capturelmr,49,49,4,12000,73.453,6g6f,False
0,{'nodes': 12000},policy1capturelmr,49,49,4,12000,78.056,6g6f,False
1,{'nodes': 12000},capture,0,0,3,12000,87.927,8g8f,False
1,{'nodes': 12000},policy1capture,0,0,3,12000,122.302,8g8f,False
1,{'nodes': 12000},capturelmr,0,0,4,12000,58.569,8g8f,False
1,{'nodes': 12000},policy1capturelmr,0,0,4,12000,67.099,8g8f,False
1,{'nodes': 12000},base,0,0,3,12000,71.092,8g8f,False
2,{'nodes': 12000},policy1capture,224,0,3,12000,92.265,3i4h,False
2,{'nodes': 12000},capturelmr,0,-224,4,12000,72.559,2i3g,False
2,{'nodes': 12000},policy1capturelmr,224,0,4,12000,83.25,3i4h,False
2,{'nodes': 12000},base,224,0,3,12000,96.837,3i4h,False
2,{'nodes': 12000},capture,224,0,3,12000,79.47,3i4h,False
3,{'nodes': 12000},capturelmr,0,0,4,12000,73.727,7g6h,False
3,{'nodes': 12000},policy1capturelmr,33,33,4,12000,88.625,5g5f,False
3,{'nodes': 12000},base,0,0,4,12000,79.69,7g6h,False
3,{'nodes': 12000},capture,0,0,4,12000,66.173,7g6h,False
3,{'nodes': 12000},policy1capture,0,0,4,12000,114.349,7g6h,False
4,{'nodes': 12000},policy1capturelmr,65,0,3,12000,68.25,P*5g,False
4,{'nodes': 12000},base,65,0,3,12000,65.009,P*5g,False
4,{'nodes': 12000},capture,65,0,3,12000,79.775,P*5g,False
4,{'nodes': 12000},policy1capture,65,0,3,12000,74.176,P*5g,False
4,{'nodes': 12000},capturelmr,65,0,3,12000,75.244,P*5g,False
5,{'nodes': 12000},base,0,0,3,12000,64.915,7h7e,False
5,{'nodes': 12000},capture,0,0,3,12000,75.012,7h7e,False
5,{'nodes': 12000},policy1capture,0,0,3,12000,66.642,7h7e,False
5,{'nodes': 12000},capturelmr,0,0,4,12000,83.645,7h7e,False
5,{'nodes': 12000},policy1capturelmr,0,0,3,12000,76.255,7h7e,False
6,{'nodes': 12000},capture,142,0,3,12000,71.294,7i7h,False
6,{'nodes': 12000},policy1capture,142,0,3,12000,71.419,7i7h,False
6,{'nodes': 12000},capturelmr,142,0,4,12000,70.033,7i7h,False
6,{'nodes': 12000},policy1capturelmr,142,0,4,12000,122.602,7i7h,False
6,{'nodes': 12000},base,142,0,3,12000,114.372,7i7h,False
7,{'nodes': 12000},policy1capture,0,0,3,12000,151.479,8h7g,False
7,{'nodes': 12000},capturelmr,0,0,4,12000,89.54,8h7g,False
7,{'nodes': 12000},policy1capturelmr,0,0,4,12000,120.02,8h7g,False
7,{'nodes': 12000},base,0,0,3,12000,74.081,8h7g,False
7,{'nodes': 12000},capture,0,0,3,12000,73.796,8h7g,False
8,{'nodes': 12000},capturelmr,0,0,3,12000,110.042,P*2c,False
8,{'nodes': 12000},policy1capturelmr,0,0,3,12000,113.122,P*2c,False
8,{'nodes': 12000},base,0,0,3,12000,114.873,P*2c,False
8,{'nodes': 12000},capture,0,0,3,12000,83.041,P*2c,False
8,{'nodes': 12000},policy1capture,0,0,3,12000,79.103,P*2c,False
9,{'nodes': 12000},policy1capturelmr,0,0,3,12000,127.096,4i5i,False
9,{'nodes': 12000},base,0,0,3,12000,100.498,4i5i,False
9,{'nodes': 12000},capture,0,0,3,12000,70.884,4i5i,False
9,{'nodes': 12000},policy1capture,0,0,3,12000,100.785,4i5i,False
9,{'nodes': 12000},capturelmr,0,0,3,12000,98.241,4i5i,False
10,{'nodes': 12000},base,0,0,3,12000,81.931,7e7d,False
10,{'nodes': 12000},capture,0,0,3,12000,66.771,7e7d,False
10,{'nodes': 12000},policy1capture,0,0,3,12000,128.223,7e7d,False
10,{'nodes': 12000},capturelmr,0,0,3,12000,122.773,7e7d,False
10,{'nodes': 12000},policy1capturelmr,0,0,3,12000,77.028,7e7d,False
11,{'nodes': 12000},capture,0,0,4,12000,73.033,3i2h,False
11,{'nodes': 12000},policy1capture,0,0,4,12000,84.388,3i2h,False
11,{'nodes': 12000},capturelmr,0,0,4,12000,70.969,3i2h,False
11,{'nodes': 12000},policy1capturelmr,0,0,4,12000,84.155,3i2h,False
11,{'nodes': 12000},base,0,0,4,12000,75.622,3i2h,False
12,{'nodes': 12000},policy1capture,0,0,3,12000,108.929,7h6g,False
12,{'nodes': 12000},capturelmr,0,0,4,12000,115.13,7h6g,False
12,{'nodes': 12000},policy1capturelmr,0,0,4,12000,78.932,7h6g,False
12,{'nodes': 12000},base,0,0,3,12000,80.314,7h6g,False
12,{'nodes': 12000},capture,0,0,3,12000,89.122,7h6g,False
13,{'nodes': 12000},capturelmr,0,0,2,12000,57.618,2h5h,False
13,{'nodes': 12000},policy1capturelmr,0,0,2,12000,86.015,2h5h,False
13,{'nodes': 12000},base,0,0,2,12000,70.18,2h5h,False
13,{'nodes': 12000},capture,0,0,2,12000,59.926,2h5h,False
13,{'nodes': 12000},policy1capture,0,0,2,12000,60.319,2h5h,False
14,{'nodes': 12000},policy1capturelmr,0,0,4,12000,85.848,7a6b,False
14,{'nodes': 12000},base,0,0,3,12000,76.861,7a6b,False
14,{'nodes': 12000},capture,0,0,3,12000,93.752,7a6b,False
14,{'nodes': 12000},policy1capture,0,0,3,12000,119.571,7a6b,False
14,{'nodes': 12000},capturelmr,0,0,4,12000,99.952,7a6b,False
15,{'nodes': 12000},base,1264,0,3,12000,65.335,3c4d,False
15,{'nodes': 12000},capture,1264,0,3,12000,79.114,3c4d,False
15,{'nodes': 12000},policy1capture,1264,0,3,12000,90.666,3c4d,False
15,{'nodes': 12000},capturelmr,0,-1264,4,12000,86.528,2d2e,False
15,{'nodes': 12000},policy1capturelmr,0,-1264,4,12000,76.256,2d2e,False
16,{'nodes': 12000},capture,0,0,3,12000,111.105,5e5d,False
16,{'nodes': 12000},policy1capture,0,0,3,12000,72.196,5e5d,False
16,{'nodes': 12000},capturelmr,0,0,4,12000,105.763,5e5d,False
16,{'nodes': 12000},policy1capturelmr,0,0,4,12000,91.106,5e5d,False
16,{'nodes': 12000},base,0,0,3,12000,83.132,5e5d,False
17,{'nodes': 12000},policy1capture,0,0,3,12000,103.185,2h2d,False
17,{'nodes': 12000},capturelmr,0,0,4,12000,77.53,2h2d,False
17,{'nodes': 12000},policy1capturelmr,0,0,4,12000,82.364,2h2d,False
17,{'nodes': 12000},base,0,0,3,12000,73.251,2h2d,False
17,{'nodes': 12000},capture,0,0,3,12000,81.536,2h2d,False
18,{'nodes': 12000},capturelmr,10,0,4,12000,75.336,3g3f,False
18,{'nodes': 12000},policy1capturelmr,10,0,4,12000,79.293,3g3f,False
18,{'nodes': 12000},base,10,0,3,12000,86.519,3g3f,False
18,{'nodes': 12000},capture,10,0,3,12000,60.797,3g3f,False
18,{'nodes': 12000},policy1capture,10,0,4,12000,111.527,3g3f,False
19,{'nodes': 12000},policy1capturelmr,31,0,3,12000,138.549,6b6c,False
19,{'nodes': 12000},base,31,0,3,12000,83.808,6b6c,False
19,{'nodes': 12000},capture,31,0,3,12000,75.722,6b6c,False
19,{'nodes': 12000},policy1capture,31,0,3,12000,99.744,6b6c,False
19,{'nodes': 12000},capturelmr,0,-31,3,12000,72.594,8a7c,False
20,{'nodes': 12000},base,618,0,4,12000,75.99,5f8f,False
20,{'nodes': 12000},capture,0,-618,3,12000,78.701,8g8f,False
20,{'nodes': 12000},policy1capture,618,0,4,12000,85.196,5f8f,False
20,{'nodes': 12000},capturelmr,618,0,4,12000,74.438,5f8f,False
20,{'nodes': 12000},policy1capturelmr,618,0,4,12000,85.998,5f8f,False
21,{'nodes': 12000},capture,127,0,3,12000,92.531,4c4d,False
21,{'nodes': 12000},policy1capture,127,0,3,12000,98.726,4c4d,False
21,{'nodes': 12000},capturelmr,127,0,3,12000,90.319,4c4d,False
21,{'nodes': 12000},policy1capturelmr,127,0,3,12000,79.999,4c4d,False
21,{'nodes': 12000},base,127,0,3,12000,69.554,4c4d,False
22,{'nodes': 12000},policy1capture,0,0,4,12000,76.307,3g3f,False
22,{'nodes': 12000},capturelmr,0,0,4,12000,62.185,3g3f,False
22,{'nodes': 12000},policy1capturelmr,0,0,4,12000,117.087,3g3f,False
22,{'nodes': 12000},base,0,0,4,12000,66.907,3g3f,False
